ID	ComplexCtxs	ContraFlag	Veridical	Antiveridical	Averidical	Equals	Superclass	Subclass	Disjoint	TargetLabel
6a	1	0	1	0	0	0	0	0	0	DL
7a	0	0	1	0	0	1	1	0	0	B
8a	1	0	1	0	0	1	1	0	0	DL
10a	0	0	1	0	0	1	0	1	0	B
11a	0	0	1	0	0	1	0	0	0	DL
13a	0	0	1	1	0	0	0	1	0	B
15a	0	0	1	1	1	1	0	1	0	DL
16a	0	0	1	0	0	0	1	0	0	B
17a	1	0	1	0	0	0	0	0	0	B
19a	0	0	1	0	0	1	1	0	0	S
20a	1	0	1	1	0	1	0	1	0	N
21a	0	0	1	0	0	1	0	1	0	N
22a	0	0	1	0	0	1	0	1	0	B
23a	1	0	1	1	0	1	0	0	0	B
27a	1	0	1	1	0	0	1	0	0	B
29a	0	0	1	0	0	1	1	0	0	B
31a	1	0	1	1	0	1	0	0	0	B
32a	1	0	1	0	0	1	1	0	0	DL
33a	1	0	1	0	0	1	0	0	0	B
34a	1	0	1	0	0	1	0	0	0	N
36a	1	0	1	0	0	1	0	0	0	B
37a	0	0	1	0	0	1	1	1	0	B
38a	1	0	1	1	0	1	0	0	0	DL
39a	1	0	1	0	0	1	1	0	0	B
41a	0	0	1	0	0	1	0	0	0	B
43a	0	0	1	0	0	0	1	1	0	DL
46a	1	0	1	0	0	0	1	0	0	B
48a	0	0	1	0	0	0	1	0	0	B
50a	1	0	1	0	0	0	0	1	0	B
51a	1	0	1	0	0	0	0	1	0	B
52a	0	0	1	0	0	1	0	0	0	B
53a	0	0	1	0	0	1	0	0	0	DL
54a	0	0	1	0	0	1	0	1	0	S
57a	0	0	1	0	0	1	0	0	0	B
59a	0	0	1	0	0	1	0	0	0	B
60a	0	0	1	0	0	1	0	0	0	B
61a	0	0	1	0	0	0	0	1	0	B
63a	0	0	1	0	0	1	0	0	0	B
64a	0	0	1	1	0	1	0	1	0	B
66a	0	0	1	0	0	1	0	1	0	S
67a	0	0	1	1	0	1	0	0	0	DL
68a	1	0	1	0	0	1	0	1	0	B
69a	0	0	1	1	0	1	0	1	0	S
